id,car_name,make_id
1,integra,1
2,rsx,1
3,tsx,1
4,tl,1
5,nsx,1
6,4c,2
7,giulia,2
8,vantage,3
9,a4,4
10,a5,4
11,s4,4
12,s5,4
13,rs4,4
14,rs5,4
15,r8,4
16,1 series,5
17,2 series,5
18,3 series,5
19,4 series,5
20,5 series,5
21,8 series,5
22,z3,5
23,z4,5
24,corvette,6
25,camero,6
26,challenger,7
27,charger,7
28,viper,7
29,mustang,9
30,focus,9
31,civic,10
32,accord,10
33,s2000,10
34,genesis,11
35,veloster,11
36,g35,12
37,g37,12
38,f type,13
39,xe,13
40,stinger,14
41,is,15
42,gs,15
43,ct,15
44,elise,16
45,exige,16
46,mx5,17
47,rx7,17
48,rx8,17
49,mazda3,17
50,c class,18
51,s class,18
52,slk,18
53,cooper,19
54,lancer,20
55,3000gt,20
56,eclipse,20
57,240sx,21
58,300zx,21
59,350z,21
60,370z,21
61,240z,21
62,gtr,21
63,911,22
64,cayman,22
65,boxster,22
66,frs,23
67,tc,23
68,xb,23
69,impreza,24
70,brz,24
71,wrx,24
72,model3,25
73,toyota 86,26
74,corolla,26
75,supra,26
76,celica,26
77,mr2,26
78,golf,27
79,jetta,27
