make,name,edition,min_year,max_year,hp,torque,body,door,cylinder,displacement,aspiration,transmission,drive,turbo,super,two_door,man,auto,fwd,rwd,awd
ACURA,integra,base,1994,2000,140,124,coupe,2,4,1.8,na,both,fwd,0,0,1,1,1,1,0,0
ACURA,integra,gsr,1994,2000,170,128,coupe,2,4,1.8,na,man,fwd,0,0,1,1,0,1,0,0
ACURA,integra,type r,1999,2000,195,130,coupe,2,4,1.8,na,man,fwd,0,0,1,1,0,1,0,0
ACURA,rsx,base,2002,2006,160,141,coupe,2,4,2.0,na,both,fwd,0,0,1,1,1,1,0,0
ACURA,rsx,type s,2002,2004,200,141,coupe,2,4,2.0,na,man,fwd,0,0,1,1,0,1,0,0
ACURA,rsx,type s,2005,2006,210,143,coupe,2,4,2.0,na,man,fwd,0,0,1,1,0,1,0,0
ACURA,tsx,base,2004,2008,200,164,sedan,4,4,2.4,na,both,fwd,0,0,0,1,1,1,0,0
ACURA,tl,base,2004,2008,270,233,sedan,4,4,3.2,na,both,fwd,0,0,0,1,1,1,0,0
ACURA,tl,type s,2007,2008,286,256,sedan,4,4,3.5,na,both,fwd,0,0,0,1,1,1,0,0
ACURA,nsx,base,1992,1996,270,210,coupe,2,6,3.0,na,both,rwd,0,0,1,1,1,0,1,0
ACURA,nsx,base,1997,2005,290,224,coupe,2,6,3.2,na,both,rwd,0,0,1,1,1,0,1,0
ALFA ROMEO,4c,base,2014,2018,237,258,coupe,2,4,1.7,turbo,auto,rwd,1,0,1,0,1,0,1,0
ALFA ROMEO,4c,spyder,2014,2020,237,258,convertible,2,4,1.7,turbo,auto,rwd,1,0,1,0,1,0,1,0
AUDI,a4,b7,2004,2008,200,207,sedan,4,4,2.0,turbo,both,awd,1,0,0,1,1,0,0,1
AUDI,s4,b7,2005,2008,339,302,sedan,4,8,4.2,na,both,awd,0,0,0,1,1,0,0,1
AUDI,rs4,b7,2006,2008,414,317,sedan,4,8,4.2,na,man,awd,0,0,0,1,0,0,0,1
BMW,3 series,325i e30,1985,1991,168,164,coupe,4,6,2.5,na,both,rwd,0,0,0,1,1,0,1,0
BMW,3 series,m3 e30,1986,1990,195,170,coupe,4,4,2.3,na,both,rwd,0,0,0,1,1,0,1,0
BMW,3 series,m3 e36,1995,1999,240,224,coupe,2,6,3.2,na,both,rwd,0,0,1,1,1,0,1,0
BMW,3 series,m3 e46,2000,2006,333,262,coupe,2,6,3.2,na,both,rwd,0,0,1,1,1,0,1,0
BMW,3 series,m3 e90,2008,2013,414,300,sedan,4,8,4.0,na,both,rwd,0,0,0,1,1,0,1,0
BMW,3 series,m3 e92,2008,2013,414,300,coupe,2,8,4.0,na,both,rwd,0,0,1,1,1,0,1,0
BMW,z3,m roadster,1997,2000,240,225,convertible,2,6,3.2,na,man,rwd,0,0,1,1,0,0,1,0
BMW,z3,m coupe,1997,2000,240,225,coupe,2,6,3.2,na,man,rwd,0,0,1,1,0,0,1,0
BMW,z4,m roadster,2006,2008,338,269,convertible,2,6,3.2,na,man,rwd,0,0,1,1,0,0,1,0
BMW,z4,m coupe,2006,2008,338,269,coupe,2,6,3.2,na,man,rwd,0,0,1,1,0,0,1,0
BMW,z4,3.0si coupe,2006,2008,261,232,coupe,2,6,3.0,na,both,rwd,0,0,1,1,1,0,1,0
CHEVROLET,corvette,c6 zo6,2005,2013,430,424,coupe,2,8,6.2,na,both,rwd,0,0,1,1,1,0,1,0
FORD,mustang,s197 gt,2005,2009,300,320,coupe,2,8,4.6,na,man,rwd,0,0,1,1,0,0,1,0
FORD,mustang,s550 gt,2014,2023,460,420,coupe,2,8,5.0,na,both,rwd,0,0,1,1,1,0,1,0
FORD,mustang,s550 ecoboost,2014,2023,310,350,coupe,2,4,2.3,turbo,both,rwd,1,0,1,1,1,0,1,0
FORD,focus,rs,2016,2018,350,350,hatch,4,4,2.3,turbo,man,awd,1,0,0,1,0,0,0,1
HONDA,civic,eg si,1992,1993,125,98,hatch,2,4,1.6,na,man,fwd,0,0,1,1,0,1,0,0
HONDA,civic,ek si,1995,2000,160,104,hatch,2,4,1.6,na,man,fwd,0,0,1,1,0,1,0,0
HONDA,civic,fc si,2016,2022,205,192,coupe,2,4,1.5,turbo,man,fwd,1,0,1,1,0,1,0,0
HONDA,civic,fk type r,2016,2022,306,295,hatch,4,4,2.0,turbo,man,fwd,1,0,0,1,0,1,0,0
